k,genotype,consensus,classes,periods,transients,p_state,p_pop
2,A>A.writeB|B>~.write~,"MIXED:FIXEDx1,POP_OSCx2",POP_OSC;POP_OSC;FIXED,2;4;1,189;192;196,False,False
2,A>A.write~|A>B.reqA,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|A>B.reqB,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|A>B.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>A.write~|A>B.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>A.write~|A>B.writeA,"MIXED:APERIODICx2,FIXEDx1",APERIODIC;APERIODIC;FIXED,None;None;1,None;None;197,False,False
2,A>A.write~|A>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>A.write~|A>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>A.write~|A>~.reqA,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|A>~.reqB,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>A.write~|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>A.write~|A>~.writeA,"MIXED:APERIODICx1,FIXEDx2",APERIODIC;FIXED;FIXED,None;1;1,None;199;196,False,False
2,A>A.write~|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>A.write~|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>A.write~|B>A.reqA,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>A.reqB,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>A.req~,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>A.self,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>A.writeA,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>A.writeB,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>A.write~,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>B.reqA,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>B.reqB,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>B.req~,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>B.self,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>B.writeA,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>B.writeB,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>B.write~,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>~.reqA,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>~.reqB,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>~.req~,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>~.self,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>~.writeA,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>~.writeB,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>A.write~|B>~.write~,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
2,A>B.reqA|A>B.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|A>B.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.reqA|A>B.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.reqA|A>B.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,5;5;5,True,False
2,A>B.reqA|A>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.reqA|A>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.reqA|A>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|A>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.reqA|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.reqA|A>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,0;0;0,True,False
2,A>B.reqA|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.reqA|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.reqA|B>A.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>A.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>A.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>A.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>A.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>A.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>A.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>B.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>B.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>B.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>B.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>B.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>~.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>~.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>~.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqA|B>~.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|A>B.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.reqB|A>B.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.reqB|A>B.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,6;6;6,False,False
2,A>B.reqB|A>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.reqB|A>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.reqB|A>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|A>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.reqB|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.reqB|A>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,0;0;0,True,False
2,A>B.reqB|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.reqB|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.reqB|B>A.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>A.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>A.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>A.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>A.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>A.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>A.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>B.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>B.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>B.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>B.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>B.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>~.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>~.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>~.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.reqB|B>~.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
2,A>B.req~|A>B.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|A>B.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,2;3;2,False,False
2,A>B.req~|A>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|A>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|A>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|A>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.req~|A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.req~|A>~.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,2;3;2,False,False
2,A>B.req~|A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
2,A>B.req~|B>A.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|B>A.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|B>A.req~,POP_OSC,POP_OSC;POP_OSC;POP_OSC,2;2;2,0;0;0,True,True
2,A>B.req~|B>A.self,POP_OSC,POP_OSC;POP_OSC;POP_OSC,2;2;2,0;0;0,True,True
2,A>B.req~|B>A.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,10;10;10,False,False
2,A>B.req~|B>A.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,6;6;6,True,False
2,A>B.req~|B>A.write~,POP_OSC,POP_OSC;POP_OSC;POP_OSC,2;2;2,0;0;0,True,True
2,A>B.req~|B>B.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|B>B.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|B>B.req~,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.req~|B>B.self,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.req~|B>B.writeA,FIXED,FIXED;FIXED;FIXED,1;1;1,27;37;33,False,False
2,A>B.req~|B>B.writeB,FIXED,FIXED;FIXED;FIXED,1;1;1,7;16;18,False,False
2,A>B.req~|B>B.write~,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
2,A>B.req~|B>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|B>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.req~|B>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;2;2,False,False
2,A>B.req~|B>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;2;2,False,False
2,A>B.req~|B>~.writeA,POP_OSC,POP_OSC;POP_OSC;POP_OSC,12;12;12,0;0;0,True,True
2,A>B.req~|B>~.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,1;1;1,True,False
2,A>B.req~|B>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,2;2;2,False,False
2,A>B.self|A>B.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,2;3;2,False,False
2,A>B.self|A>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|A>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|A>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|A>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
2,A>B.self|A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
