arm,seed,survived,alive,copiers,xlators,keepers,built_pi,built_omega,built_xi,repairs,t1,t2,t1_share,exact
pure2,19,False,0,6,13,6,102,277,98,0,0,32,0.0,True
pure2,20,False,0,3,16,4,101,284,91,0,0,32,0.0,True
pure2,21,False,0,7,15,6,97,264,101,0,0,32,0.0,True
pure2,22,False,0,9,10,6,95,276,97,0,0,32,0.0,True
pure2,23,False,0,3,17,5,103,296,87,0,0,32,0.0,True
pure2,24,False,0,8,11,7,113,287,89,0,0,32,0.0,True
pure2,25,False,0,8,12,8,102,270,108,0,0,32,0.0,True
pure2,26,False,0,9,14,3,108,252,90,0,0,32,0.0,True
pure2,27,False,0,6,17,4,94,303,88,0,0,32,0.0,True
pure2,28,False,0,5,14,4,118,309,106,0,0,32,0.0,True
pure2,29,False,0,7,16,4,107,252,89,0,0,32,0.0,True
pure2,30,False,0,6,15,7,102,269,99,0,0,32,0.0,True
pure2,31,False,0,5,15,3,107,297,92,0,0,32,0.0,True
pure2,32,False,0,7,12,7,104,300,97,0,0,32,0.0,True
pure2,33,False,0,6,15,5,103,303,105,0,0,32,0.0,True
pure2,34,False,0,8,10,7,100,263,97,0,0,32,0.0,True
pure2,35,False,0,10,12,6,104,253,99,0,0,32,0.0,True
pure2,36,False,0,5,16,7,109,287,94,0,0,32,0.0,True
pure2,37,False,0,6,16,4,99,277,103,0,0,32,0.0,True
pure2,38,False,0,4,15,7,97,264,99,0,0,32,0.0,True
pure2,39,False,0,4,18,3,112,329,85,0,0,32,0.0,True
pure2,40,False,0,4,14,6,106,260,86,0,0,32,0.0,True
pure2,41,False,0,3,13,7,101,308,96,0,0,32,0.0,True
pure2,42,False,0,1,21,1,109,303,95,0,0,32,0.0,True
pure2,43,False,0,8,15,2,111,279,90,0,0,32,0.0,True
pure2,44,False,0,4,17,5,104,291,85,0,0,32,0.0,True
pure2,45,False,0,7,15,5,108,298,94,0,0,32,0.0,True
pure2,46,False,0,4,16,4,82,283,116,0,0,32,0.0,True
pure2,47,False,0,5,14,4,108,300,107,0,0,32,0.0,True
pure2,48,False,0,7,15,4,100,293,93,0,0,32,0.0,True
pure2,49,False,0,7,18,3,105,284,99,0,0,32,0.0,True
pure2,50,False,0,4,14,7,89,286,96,0,0,32,0.0,True
pure2,51,False,0,5,17,2,100,308,81,0,0,32,0.0,True
pure2,52,False,0,7,13,6,91,255,86,0,0,32,0.0,True
pure2,53,False,0,10,15,3,101,279,82,0,0,32,0.0,True
pure2,54,False,0,8,15,4,97,267,98,0,0,32,0.0,True
pure2,55,False,0,7,12,7,102,279,101,0,0,32,0.0,True
pure2,56,False,0,8,15,4,101,266,95,0,0,32,0.0,True
pure2,57,False,0,6,14,9,87,274,101,0,0,32,0.0,True
pure2,58,False,0,9,14,5,105,278,102,0,0,32,0.0,True
pure2,59,False,0,7,14,6,105,320,94,0,0,32,0.0,True
pure2,60,False,0,7,17,3,112,261,90,0,0,32,0.0,True
pure2,61,False,0,5,17,4,113,270,99,0,0,32,0.0,True
pure2,62,False,0,5,18,2,99,291,87,0,0,32,0.0,True
pure2,63,False,0,9,10,6,97,314,98,0,0,32,0.0,True
pure2,64,False,0,4,17,5,95,285,89,0,0,32,0.0,True
pure2,65,False,0,8,13,3,93,269,95,0,0,32,0.0,True
pure2,66,False,0,5,12,4,102,312,100,0,0,32,0.0,True
pure2,67,False,0,5,17,5,106,276,98,0,0,32,0.0,True
pure2,68,False,0,3,17,5,108,284,97,0,0,32,0.0,True
pure2,69,False,0,4,11,11,79,273,102,0,0,32,0.0,True
pure2,70,False,0,3,15,7,103,297,91,0,0,32,0.0,True
pure2,71,False,0,3,19,3,98,328,107,0,0,32,0.0,True
pure2,72,False,0,6,14,5,118,276,92,0,0,32,0.0,True
pure2,73,False,0,6,14,4,94,264,91,0,0,32,0.0,True
pure2,74,False,0,6,14,5,103,299,107,0,0,32,0.0,True
pure2,75,False,0,7,18,3,109,290,93,0,0,32,0.0,True
pure2,76,False,0,4,16,4,90,295,95,0,0,32,0.0,True
pure2,77,False,0,3,14,6,88,284,84,0,0,32,0.0,True
pure2,78,False,0,5,17,3,107,284,96,0,0,32,0.0,True
pure2,79,False,0,3,17,6,89,248,98,0,0,32,0.0,True
pure2,80,False,0,8,14,5,104,266,99,0,0,32,0.0,True
pure2,81,False,0,3,17,5,88,302,101,0,0,32,0.0,True
pure2,82,False,0,8,14,5,104,301,96,0,0,32,0.0,True
pure2,83,False,0,3,13,9,78,258,92,0,0,32,0.0,True
pure2,84,False,0,9,14,4,99,254,118,0,0,32,0.0,True
pure2,85,False,0,5,10,5,84,278,95,0,0,32,0.0,True
pure2,86,False,0,5,13,7,106,287,85,0,0,32,0.0,True
pure2,87,False,0,5,16,3,93,287,101,0,0,32,0.0,True
pure2,88,False,0,5,15,6,101,266,93,0,0,32,0.0,True
pure2,89,False,0,7,10,7,102,276,96,0,0,32,0.0,True
pure2,90,False,0,5,15,5,102,304,99,0,0,32,0.0,True
pure2,91,False,0,5,15,6,88,308,111,0,0,32,0.0,True
pure2,92,False,0,5,18,6,91,246,101,0,0,32,0.0,True
pure2,93,False,0,5,17,3,99,276,95,0,0,32,0.0,True
pure2,94,False,0,4,16,6,93,313,111,0,0,32,0.0,True
pure2,95,False,0,8,13,6,110,315,100,0,0,32,0.0,True
pure2,96,False,0,9,12,5,98,257,93,0,0,32,0.0,True
pure2,97,False,0,6,15,5,110,265,104,0,0,32,0.0,True
pure2,98,False,0,6,12,6,104,334,90,0,0,32,0.0,True
pure2,99,False,0,4,15,4,101,266,87,0,0,32,0.0,True
pure2,100,False,0,6,16,5,101,300,98,0,0,32,0.0,True
